cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
0,0,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,2352B),t1(DRAM,39675B),t8(DRAM,39675B)]"
0,1,IDLE,LOADING,0,conv1,"waiting_for=[t5(DRAM,2352B),t4(DRAM,38988B),t11(DRAM,38988B)]"
0,2,IDLE,LOADING,0,conv1,"waiting_for=[t6(DRAM,2352B),t1(DRAM,39675B),t8(DRAM,39675B)]"
0,3,IDLE,LOADING,0,conv1,"waiting_for=[t7(DRAM,2352B),t4(DRAM,38988B),t11(DRAM,38988B)]"
0,4,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,2352B),t2(DRAM,39330B),t9(DRAM,39330B)]"
0,5,IDLE,LOADING,0,conv1,"waiting_for=[t5(DRAM,2352B),t3(DRAM,39330B),t10(DRAM,39330B)]"
0,6,IDLE,LOADING,0,conv1,"waiting_for=[t6(DRAM,2352B),t2(DRAM,39330B),t9(DRAM,39330B)]"
0,7,IDLE,LOADING,0,conv1,"waiting_for=[t7(DRAM,2352B),t3(DRAM,39330B),t10(DRAM,39330B)]"
0,8,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,2352B),t3(DRAM,39330B),t10(DRAM,39330B)]"
0,9,IDLE,LOADING,0,conv1,"waiting_for=[t5(DRAM,2352B),t2(DRAM,39330B),t9(DRAM,39330B)]"
0,10,IDLE,LOADING,0,conv1,"waiting_for=[t6(DRAM,2352B),t3(DRAM,39330B),t10(DRAM,39330B)]"
0,11,IDLE,LOADING,0,conv1,"waiting_for=[t7(DRAM,2352B),t2(DRAM,39330B),t9(DRAM,39330B)]"
0,12,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,2352B),t4(DRAM,38988B),t11(DRAM,38988B)]"
0,13,IDLE,LOADING,0,conv1,"waiting_for=[t5(DRAM,2352B),t1(DRAM,39675B),t8(DRAM,39675B)]"
0,14,IDLE,LOADING,0,conv1,"waiting_for=[t6(DRAM,2352B),t4(DRAM,38988B),t11(DRAM,38988B)]"
0,15,IDLE,LOADING,0,conv1,"waiting_for=[t7(DRAM,2352B),t1(DRAM,39675B),t8(DRAM,39675B)]"
95,0,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=95,loading_core_cycles=0"
96,0,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
126,1,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=126,loading_core_cycles=0"
127,1,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
159,2,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=159,loading_core_cycles=0"
160,2,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
190,3,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=190,loading_core_cycles=0"
191,3,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
222,4,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=222,loading_core_cycles=0"
223,4,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
254,5,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=254,loading_core_cycles=0"
255,5,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
286,6,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=286,loading_core_cycles=0"
287,6,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
318,7,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=318,loading_core_cycles=0"
319,7,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
350,8,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=350,loading_core_cycles=0"
351,8,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
382,9,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=382,loading_core_cycles=0"
383,9,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
414,10,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=414,loading_core_cycles=0"
415,10,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
446,11,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=446,loading_core_cycles=0"
447,11,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
478,12,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=478,loading_core_cycles=0"
479,12,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
511,13,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=511,loading_core_cycles=0"
512,13,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
531,0,WRITEBACK,IDLE,1,conv1,"writeback_complete"
532,0,IDLE,LOADING,1,conv1,"waiting_for=[t0(DRAM,2352B),t8(DRAM,39675B),t12(DRAM,39675B)]"
541,14,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=541,loading_core_cycles=0"
542,14,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
550,1,WRITEBACK,IDLE,1,conv1,"writeback_complete"
551,1,IDLE,LOADING,1,conv1,"waiting_for=[t5(DRAM,2352B),t11(DRAM,38988B),t15(DRAM,38988B)]"
570,2,WRITEBACK,IDLE,1,conv1,"writeback_complete"
571,2,IDLE,LOADING,1,conv1,"waiting_for=[t6(DRAM,2352B),t8(DRAM,39675B),t12(DRAM,39675B)]"
590,3,WRITEBACK,IDLE,1,conv1,"writeback_complete"
591,3,IDLE,LOADING,1,conv1,"waiting_for=[t7(DRAM,2352B),t11(DRAM,38988B),t15(DRAM,38988B)]"
609,4,WRITEBACK,IDLE,1,conv1,"writeback_complete"
610,4,IDLE,LOADING,1,conv1,"waiting_for=[t0(DRAM,2352B),t9(DRAM,39330B),t13(DRAM,39330B)]"
629,5,WRITEBACK,IDLE,1,conv1,"writeback_complete"
630,5,IDLE,LOADING,1,conv1,"waiting_for=[t5(DRAM,2352B),t10(DRAM,39330B),t14(DRAM,39330B)]"
648,6,WRITEBACK,IDLE,1,conv1,"writeback_complete"
649,6,IDLE,LOADING,1,conv1,"waiting_for=[t6(DRAM,2352B),t9(DRAM,39330B),t13(DRAM,39330B)]"
668,7,WRITEBACK,IDLE,1,conv1,"writeback_complete"
669,7,IDLE,LOADING,1,conv1,"waiting_for=[t7(DRAM,2352B),t10(DRAM,39330B),t14(DRAM,39330B)]"
688,8,WRITEBACK,IDLE,1,conv1,"writeback_complete"
689,8,IDLE,LOADING,1,conv1,"waiting_for=[t0(DRAM,2352B),t10(DRAM,39330B),t14(DRAM,39330B)]"
707,9,WRITEBACK,IDLE,1,conv1,"writeback_complete"
708,9,IDLE,LOADING,1,conv1,"waiting_for=[t5(DRAM,2352B),t9(DRAM,39330B),t13(DRAM,39330B)]"
727,10,WRITEBACK,IDLE,1,conv1,"writeback_complete"
728,10,IDLE,LOADING,1,conv1,"waiting_for=[t6(DRAM,2352B),t10(DRAM,39330B),t14(DRAM,39330B)]"
746,11,WRITEBACK,IDLE,1,conv1,"writeback_complete"
747,11,IDLE,LOADING,1,conv1,"waiting_for=[t7(DRAM,2352B),t9(DRAM,39330B),t13(DRAM,39330B)]"
766,12,WRITEBACK,IDLE,1,conv1,"writeback_complete"
767,12,IDLE,LOADING,1,conv1,"waiting_for=[t0(DRAM,2352B),t11(DRAM,38988B),t15(DRAM,38988B)]"
806,15,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=806,loading_core_cycles=0"
807,15,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
850,13,WRITEBACK,IDLE,1,conv1,"writeback_complete"
851,13,IDLE,LOADING,1,conv1,"waiting_for=[t5(DRAM,2352B),t8(DRAM,39675B),t12(DRAM,39675B)]"
